ds,pt,m,val,rank
fairness/adult_processed.csv,default,accuracy,0.768318899330508,
fairness/adult_processed.csv,default,accuracy,0.769670167680118,
fairness/adult_processed.csv,default,accuracy,0.7767813267813268,
fairness/adult_processed.csv,default,accuracy,0.7805417357656164,
fairness/adult_processed.csv,default,accuracy,0.7719427553590075,
fairness/adult_processed.csv,default,accuracy,0.7708230958230958,
fairness/adult_processed.csv,default,accuracy,0.7713899637614398,
fairness/adult_processed.csv,default,accuracy,0.7640194091272035,
fairness/adult_processed.csv,default,accuracy,0.7748771498771498,
fairness/adult_processed.csv,default,accuracy,0.7700386954118298,
fairness/adult_processed.csv,default,accuracy,0.7726183895338125,
fairness/adult_processed.csv,default,accuracy,0.7597665847665848,
fairness/adult_processed.csv,default,accuracy,0.7739696578834224,
fairness/adult_processed.csv,default,accuracy,0.7679503715987961,
fairness/adult_processed.csv,default,accuracy,0.7746314496314496,
fairness/adult_processed.csv,default,accuracy,0.7654320987654321,
fairness/adult_processed.csv,default,accuracy,0.7715742276272957,
fairness/adult_processed.csv,default,accuracy,0.774938574938575,
fairness/adult_processed.csv,default,accuracy,0.7771635648915914,
fairness/adult_processed.csv,default,accuracy,0.7686874270622198,
fairness/adult_processed.csv,default,accuracy,0.7681203931203932,
fairness/adult_processed.csv,default,accuracy,0.7761808242736933,
fairness/adult_processed.csv,default,accuracy,0.7750752410785579,
fairness/adult_processed.csv,default,accuracy,0.7722358722358722,
fairness/adult_processed.csv,default,accuracy,0.768994533505313,
fairness/adult_processed.csv,default,accuracy,0.7678889503101775,
fairness/adult_processed.csv,default,accuracy,0.7734643734643735,
fairness/adult_processed.csv,default,accuracy,0.7739082365948038,
fairness/adult_processed.csv,default,accuracy,0.7740310791720411,
fairness/adult_processed.csv,default,accuracy,0.7735872235872235,
fairness/adult_processed.csv,default,aod-race,0.0225226732343604,
fairness/adult_processed.csv,default,aod-race,0.0793413188105385,
fairness/adult_processed.csv,default,aod-race,0.0302803449753552,
fairness/adult_processed.csv,default,aod-race,0.0377982931056195,
fairness/adult_processed.csv,default,aod-race,0.081704207454247,
fairness/adult_processed.csv,default,aod-race,0.0261919746938546,
fairness/adult_processed.csv,default,aod-race,0.0393706245587973,
fairness/adult_processed.csv,default,aod-race,0.0511927321533413,
fairness/adult_processed.csv,default,aod-race,0.0562996159882426,
fairness/adult_processed.csv,default,aod-race,0.0219129109599223,
fairness/adult_processed.csv,default,aod-race,0.0651470791184683,
fairness/adult_processed.csv,default,aod-race,0.0231624837345893,
fairness/adult_processed.csv,default,aod-race,0.0456511986321423,
fairness/adult_processed.csv,default,aod-race,0.0519190049165087,
fairness/adult_processed.csv,default,aod-race,0.0744272476661551,
fairness/adult_processed.csv,default,aod-race,0.0424960596524116,
fairness/adult_processed.csv,default,aod-race,0.0035868993992382,
fairness/adult_processed.csv,default,aod-race,0.020051556730784,
fairness/adult_processed.csv,default,aod-race,0.0459668812977965,
fairness/adult_processed.csv,default,aod-race,0.0188655897750192,
fairness/adult_processed.csv,default,aod-race,0.0571546959207853,
fairness/adult_processed.csv,default,aod-race,0.0139940528321867,
fairness/adult_processed.csv,default,aod-race,0.0409423148381493,
fairness/adult_processed.csv,default,aod-race,0.0322428822333356,
fairness/adult_processed.csv,default,aod-race,0.0138602735404087,
fairness/adult_processed.csv,default,aod-race,0.0927481534983229,
fairness/adult_processed.csv,default,aod-race,0.0350697700253395,
fairness/adult_processed.csv,default,aod-race,0.0184693302926229,
fairness/adult_processed.csv,default,aod-race,0.0634651259519096,
fairness/adult_processed.csv,default,aod-race,0.0695114330401069,
fairness/adult_processed.csv,default,aod-sex,0.0543766562308419,
fairness/adult_processed.csv,default,aod-sex,0.0488188181531673,
fairness/adult_processed.csv,default,aod-sex,0.1042194963784747,
fairness/adult_processed.csv,default,aod-sex,0.1061111686962072,
fairness/adult_processed.csv,default,aod-sex,0.0683426940176601,
fairness/adult_processed.csv,default,aod-sex,0.0461780730317537,
fairness/adult_processed.csv,default,aod-sex,0.0959922358555907,
fairness/adult_processed.csv,default,aod-sex,0.100129255660036,
fairness/adult_processed.csv,default,aod-sex,0.0691859836213065,
fairness/adult_processed.csv,default,aod-sex,0.0899956799926133,
fairness/adult_processed.csv,default,aod-sex,0.1233640244397793,
fairness/adult_processed.csv,default,aod-sex,0.0609644015611168,
fairness/adult_processed.csv,default,aod-sex,0.0825645882842694,
fairness/adult_processed.csv,default,aod-sex,0.0659319818545228,
fairness/adult_processed.csv,default,aod-sex,0.0683707958457229,
fairness/adult_processed.csv,default,aod-sex,0.0976295584942103,
fairness/adult_processed.csv,default,aod-sex,0.0524544501051215,
fairness/adult_processed.csv,default,aod-sex,0.1157461655419841,
fairness/adult_processed.csv,default,aod-sex,0.0658357161473414,
fairness/adult_processed.csv,default,aod-sex,0.0793197455623299,
fairness/adult_processed.csv,default,aod-sex,0.0680995945514714,
fairness/adult_processed.csv,default,aod-sex,0.1339596925589226,
fairness/adult_processed.csv,default,aod-sex,0.044101828814945,
fairness/adult_processed.csv,default,aod-sex,0.086406649472396,
fairness/adult_processed.csv,default,aod-sex,0.0766262440887557,
fairness/adult_processed.csv,default,aod-sex,0.0520559063408211,
fairness/adult_processed.csv,default,aod-sex,0.0970296421543272,
fairness/adult_processed.csv,default,aod-sex,0.1150227784157652,
fairness/adult_processed.csv,default,aod-sex,0.0490244381854136,
fairness/adult_processed.csv,default,aod-sex,0.0743939158803352,
fairness/adult_processed.csv,default,d2h1,0.3682407531599733,
fairness/adult_processed.csv,default,d2h1,0.3670374489059716,
fairness/adult_processed.csv,default,d2h1,0.3523299260450763,
fairness/adult_processed.csv,default,d2h1,0.3531838978508658,
fairness/adult_processed.csv,default,d2h1,0.3555935350223391,
fairness/adult_processed.csv,default,d2h1,0.3621963875351759,
fairness/adult_processed.csv,default,d2h1,0.3580142994221757,
fairness/adult_processed.csv,default,d2h1,0.3598033669906755,
fairness/adult_processed.csv,default,d2h1,0.3580545675558219,
fairness/adult_processed.csv,default,d2h1,0.3643748023395012,
fairness/adult_processed.csv,default,d2h1,0.3605403260754904,
fairness/adult_processed.csv,default,d2h1,0.3634524499752437,
fairness/adult_processed.csv,default,d2h1,0.3559905390075539,
fairness/adult_processed.csv,default,d2h1,0.3623793852461494,
fairness/adult_processed.csv,default,d2h1,0.3608376520033028,
fairness/adult_processed.csv,default,d2h1,0.3588499531237263,
fairness/adult_processed.csv,default,d2h1,0.3594330568066162,
fairness/adult_processed.csv,default,d2h1,0.3598634532496021,
fairness/adult_processed.csv,default,d2h1,0.3569502875460675,
fairness/adult_processed.csv,default,d2h1,0.3652364586536805,
fairness/adult_processed.csv,default,d2h1,0.3649484579572024,
fairness/adult_processed.csv,default,d2h1,0.3497559026017154,
fairness/adult_processed.csv,default,d2h1,0.3634084162248293,
fairness/adult_processed.csv,default,d2h1,0.3583584663486668,
fairness/adult_processed.csv,default,d2h1,0.3615926870377465,
fairness/adult_processed.csv,default,d2h1,0.3608770678290071,
fairness/adult_processed.csv,default,d2h1,0.3622421549822309,
fairness/adult_processed.csv,default,d2h1,0.3562130235132667,
fairness/adult_processed.csv,default,d2h1,0.3586987557165019,
fairness/adult_processed.csv,default,d2h1,0.3599189664809354,
fairness/adult_processed.csv,default,d2h2,0.1617506409702901,
